portid,ISO3,continent,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,disaster_indicator,resilience_cluster,portname,impact_score,cargo_redistributed,available_capacity,cargo_received
port280,AUS,Asia & Pacific,-12.49794668,130.9019044,835,35,324,185,33,256,Mineral Products,Chemical & Allied Industries,Vegetable Products,1.09,0.49,1.0,1.0,1.0,0.0,0.0,3.0,3.0,767.721953573244,0.0,906.634881582011,0.0,0.0,1674.35683515525,1674.35683515525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Darwin,0,,0.0,0.0
port281,PHL,Asia & Pacific,7.17898108,125.6594664,1771,733,146,578,23,289,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,5.16,6.78,1.0,3.0,4.0,0.0,0.0,8.0,8.0,6868.75491289455,6899.46796432265,0.0,0.0,0.0,13768.2228772172,13768.2228772172,0.0,21360.0432418902,0.0,0.0,0.0,21360.0432418902,21360.0432418902,0,1,Davao,0,,0.0,0.0
port282,USA,North America,41.60836202,-71.41914669,188,1,0,11,175,0,Vehicles & Equipment,Machinery & Electrical Equipment,Mineral Products,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Davisville Depot,0,,188.0,188.0
port283,RUS,Europe,51.46889483,140.7782411,15,1,0,13,0,0,Metals,Wood & Wood Products,Vegetable Products,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,De Kastri,0,,15.0,30.0
port284,GUF,South America,4.857107667,-52.27523014,220,59,3,62,11,82,Mineral Products,Vegetable Products,Chemical & Allied Industries,98.23,94.99,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1120.12634890707,0.0,0.0,0.0,0.0,1120.12634890707,1120.12634890707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Degrad Des Cannes,0,,0.0,0.0
port285,NLD,Europe,53.31497835,6.964153498,468,29,58,227,0,152,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.19,0.78,0.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,7261.62842827512,0.0,0.0,7261.62842827512,7261.62842827512,0.0,6745.18813810364,1435.05324007793,0.0,0.0,8180.24137818157,8180.24137818157,0,1,Delfzijl,0,,0.0,0.0
port286,TUR,Europe,36.86084344,36.15048769,276,0,0,0,0,275,Mineral Products,Chemical & Allied Industries,Stone & Glass,1.38,1.12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7463.15950660991,0.0,7463.15950660991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Delta Terminal,0,,0.0,0.0
port287,TUR,Europe,40.75824677,29.77991916,1674,189,128,512,284,558,Mineral Products,Chemical & Allied Industries,Vegetable Products,1.69,2.51,0.0,1.0,4.0,1.0,1.0,6.0,7.0,0.0,0.0,5466.73542757578,0.0,789.904564788212,5466.73542757578,6256.63999236399,0.0,2664.57898274007,5740.83783216492,1726.71585605761,74.3856304541508,10132.1326709626,10206.5183014167,0,1,Derince (Izmit-Kocaeli),0,,0.0,0.0
port288,AUS,Asia & Pacific,-41.1826581,146.3659077,222,0,110,68,0,43,Mineral Products,Machinery & Electrical Equipment,Prepared Foodstuffs & Beverages,0.16,0.01,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.211200328921,0.0,0.0,577.211200328921,577.211200328921,0,1,Devonport,0,,222.0,222.0
port289,BGD,Asia & Pacific,23.6624176,90.44870639,65,6,0,24,0,34,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Dhaka,0,,65.0,65.0
port29,DNK,Europe,57.05441309,9.991278757,791,78,351,246,0,116,Mineral Products,Metals,Chemical & Allied Industries,5.56,7.96,1.0,1.0,3.0,0.0,1.0,5.0,6.0,0.0,0.0,3375.85689939063,0.0,762.603843517779,3375.85689939063,4138.46074290841,0.0,1621.22908398144,0.0,0.0,0.0,1621.22908398144,1621.22908398144,0,1,Aalborg,0,,0.0,0.0
port291,CYP,Europe,34.72313086,33.31349019,498,4,18,202,0,273,Mineral Products,Chemical & Allied Industries,Stone & Glass,35.99,59.01,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16736.7877273126,0.0,16736.7877273126,0.0,0.0,0.0,0.0,110.74411841625,0.0,110.74411841625,0,1,Vassiliko,0,,0.0,0.0
port292,TLS,Asia & Pacific,-8.548699467,125.561537,124,26,3,89,0,6,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,88.88,87.28,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Dili,0,,124.0,124.0
port293,DZA,Africa,36.82059245,5.886895265,364,41,211,94,5,12,Mineral Products,Chemical & Allied Industries,Stone & Glass,13.16,6.81,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2858.93936481016,0.0,2665.2643793323,0.0,0.0,5524.20374414245,5524.20374414245,1149.84045450311,0.0,0.0,0.0,0.0,1149.84045450311,1149.84045450311,0,1,Djen-Djen,0,,0.0,0.0
port294,DJI,Africa,11.59746443,43.10371866,1232,466,214,203,79,268,Vegetable Products,Mineral Products,Chemical & Allied Industries,100.0,100.0,2.0,4.0,1.0,0.0,1.0,7.0,8.0,27428.6532409217,60520.4161597327,16119.2525590761,0.0,22268.4192593556,104068.321959731,126336.741219086,0.0,1996.95032758635,0.0,0.0,0.0,1996.95032758635,1996.95032758635,0,1,Djibouti,0,,0.0,0.0
port295,ISL,Europe,64.66058562,-14.28688965,3,0,0,1,0,1,Mineral Products,Animal & Animal Products,Prepared Foodstuffs & Beverages,0.02,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Djupivogur,0,,3.0,6.0
port296,NOR,Europe,63.75286522,11.30506543,407,93,31,243,0,40,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",1.38,1.07,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1592.27171417568,0.0,0.0,1592.27171417568,1592.27171417568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,Djupviken,0,,0.0,0.0
port297,IDN,Asia & Pacific,-0.745020664,119.8288951,388,152,13,126,0,96,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.18,0.03,2.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,138.330346215116,0.0,0.0,138.330346215116,138.330346215116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Donggala,0,,249.669653784884,249.669653784884
port298,MEX,North America,18.4321946,-93.18303296,121,0,11,24,0,84,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.12,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Dos Bocas Terminal,0,,121.0,0.0
port299,CMR,Africa,4.052880865,9.683368801,907,271,263,139,16,216,Mineral Products,Vegetable Products,Wood & Wood Products,67.91,57.63,2.0,3.0,2.0,0.0,1.0,7.0,8.0,0.0,22975.925949554,2764.27533167068,0.0,3700.64543864748,25740.2012812247,29440.8467198721,6838.69245237023,0.0,0.0,0.0,0.0,6838.69245237023,6838.69245237023,0,1,Douala,0,,0.0,0.0
port3,GBR,Europe,57.13992912,-2.076616768,761,8,10,507,0,235,Mineral Products,Metals,Prepared Foodstuffs & Beverages,0.43,0.34,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Aberdeen,0,,761.0,1522.0
port30,NOR,Europe,62.4728339,6.154027256,845,283,14,369,2,176,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,1.67,0.79,1.0,0.0,4.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1058.20226436938,0.0,1058.20226436938,1003.16879539448,0.0,2988.43049574631,0.0,0.0,3991.59929114078,3991.59929114078,0,3,Alesund,0,,0.0,0.0
port301,GBR,Europe,51.12045226,1.324304804,89,3,4,49,0,32,Vegetable Products,Prepared Foodstuffs & Beverages,Mineral Products,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Dover,0,,89.0,0.0
port302,NOR,Europe,59.73742492,10.2396018,508,77,32,253,86,58,Mineral Products,Prepared Foodstuffs & Beverages,Wood & Wood Products,2.19,0.65,0.0,1.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,2339.29119988961,2015.6693740101,0.0,4354.96057389971,4354.96057389971,0.0,1874.35067689775,183.762538575059,0.0,158.437152645514,2058.11321547281,2216.55036811833,0,3,Drammen,0,,0.0,0.0
